fecha;sol;tmin;tmax;prec
02/12/2013;9,3;4;18;0
03/12/2013;9,3;5;19;0
04/12/2013;9,3;6;20;0
05/12/2013;9,3;6;20;0
06/12/2013;9,3;5;20;0
07/12/2013;9,3;4;20;0
08/12/2013;9,2;4;20;0
09/12/2013;8,3;4;19;0
10/12/2013;7,6;5;19;0
11/12/2013;6,7;6;20;0,5
12/12/2013;6,7;7;20;0,5
13/12/2013;6,8;7;20;0,5
14/12/2013;7,5;7;20;0
15/12/2013;6,4;8;19;0
16/12/2013;6;8;19;1
17/12/2013;4,3;8;18;1
18/12/2013;4,4;8;17;2,5
19/12/2013;4,6;7;16;1,5
20/12/2013;6,4;6;17;1,5
21/12/2013;7,6;4;17;0
22/12/2013;7,4;4;17;0
23/12/2013;5,8;5;17;11,5
24/12/2013;5,4;6;17;12
25/12/2013;3,6;8;17;12
26/12/2013;3,4;8;17;1
27/12/2013;5,3;8;16;0,5
28/12/2013;6,9;7;16;0,5
29/12/2013;6,8;6;15;0
30/12/2013;6,8;5;15;0,5
31/12/2013;5,1;7;15;1
01/01/2014;3,5;9;16;2
02/01/2014;2,4;11;17;3
03/01/2014;2,6;11;17;2,5
04/01/2014;4,5;10;18;1,5
05/01/2014;6,3;9;18;0
06/01/2014;7,9;7;18;0
07/01/2014;8,8;6;18;0
08/01/2014;7,4;7;18;0
09/01/2014;7,2;7;18;0
10/01/2014;5,6;9;18;0
11/01/2014;4,4;9;18;3
12/01/2014;3,2;9;17;3,5
13/01/2014;3;9;17;3,5
14/01/2014;1,9;9;16;1
15/01/2014;1,9;8;15;1,5
16/01/2014;2,1;8;15;9
17/01/2014;3,1;8;14;15,5
18/01/2014;4,9;7;15;14
19/01/2014;4,6;7;14;6,5
20/01/2014;6,1;7;16;2,5
21/01/2014;7,1;7;16;2,5
22/01/2014;7,5;6;17;2,5
23/01/2014;7,3;7;17;0
24/01/2014;9;7;18;0
25/01/2014;8,8;7;18;0
26/01/2014;7,9;7;18;0
27/01/2014;7,1;7;18;0,5
28/01/2014;7,4;7;17;1
29/01/2014;5,6;7;16;1
30/01/2014;5,2;7;16;0,5
31/01/2014;6;6;16;0
01/02/2014;5,7;6;16;0
02/02/2014;3,9;5;16;1,5
03/02/2014;3,9;6;16;5,5
04/02/2014;3,2;7;16;6
05/02/2014;2,9;8;17;5,5
06/02/2014;2,1;9;17;2
07/02/2014;2,1;10;17;3
08/02/2014;3,6;9;16;10
09/02/2014;3,5;8;15;10
10/02/2014;2,1;8;16;8,5
11/02/2014;2,1;9;16;2
12/02/2014;2,8;10;17;2
13/02/2014;1,3;11;17;2
14/02/2014;3,2;11;17;0,5
15/02/2014;4,1;11;17;0,5
16/02/2014;5,4;9;17;0,5
17/02/2014;6,7;7;17;0,5
18/02/2014;6,5;7;17;0,5
19/02/2014;6,3;7;17;0,5
20/02/2014;7,4;6;17;0,5
21/02/2014;8,2;6;17;0,5
22/02/2014;8;6;17;1
23/02/2014;8,6;7;18;1
24/02/2014;8,5;7;18;1,5
25/02/2014;7,1;7;18;0
26/02/2014;6,3;8;18;0
27/02/2014;4,4;8;18;0
28/02/2014;4,8;9;19;0
01/03/2014;4,3;10;19;0
02/03/2014;5,6;10;20;0
03/03/2014;6,1;10;20;0
04/03/2014;8,3;10;21;0
05/03/2014;9,5;8;21;0
06/03/2014;10,5;9;23;0
07/03/2014;10,5;9;23;0
08/03/2014;11,1;9;23;0
09/03/2014;11,1;9;23;0
10/03/2014;10,2;9;23;0
11/03/2014;9,7;9;22;0
12/03/2014;9,4;9;21;0
13/03/2014;9,3;8;22;0
14/03/2014;9,3;8;22;0
15/03/2014;10,3;7;23;0
16/03/2014;10,6;7;25;0
17/03/2014;10,6;8;25;0
18/03/2014;10,3;9;25;0
